Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,Returns,Volatility
2025-06-18,104883.328125,105581.8515625,103602.265625,104602.0703125,47318089133,105813.696875,104296.4909375,105903.17923140705,0.0026979724986506692,0.017042074577301773
2025-06-19,104684.2890625,105250.890625,103940.7734375,104886.7734375,37333806920,105847.9828125,104506.03046875,105787.0944534159,-0.0018977187896134229,0.01666487244039045
2025-06-20,103309.6015625,106539.3828125,102372.2109375,104681.03125,50951862476,105781.558203125,104642.37578125,105551.14274951916,-0.013131746055793259,0.01687479678951611
2025-06-21,102257.40625,104015.78125,100973.0625,103315.078125,38360555118,105611.8234375,104749.3225,105237.45355908877,-0.010184874363913243,0.016827996455713243
2025-06-22,100987.140625,103351.6328125,98286.203125,102212.03125,65536997201,105367.10390625,104851.229375,104832.66185108032,-0.012422235919953284,0.016976259406384992
2025-06-23,105577.7734375,106116.859375,99705.75,100987.4765625,65237759656,105374.369140625,105076.4653125,104903.62485931077,0.04545759771084712,0.020028927935922463
2025-06-24,106045.6328125,106316.828125,104740.2421875,105571.515625,48822986421,105440.0515625,105302.416875,105012.38752151927,0.004431419225533917,0.01998112793241852
2025-06-25,107361.2578125,108168.3984375,105881.390625,106047.40625,51624120283,105729.316796875,105513.5925,105236.08945399361,0.012406215749838134,0.018739214715850522
2025-06-26,106960.0,108305.546875,106666.3515625,107375.0703125,43891990613,105857.799609375,105712.14609375,105400.27141075613,-0.003737454466123835,0.017849693932382435
2025-06-27,107088.4296875,107772.46875,106449.9921875,106954.921875,45353692675,105931.43984375,105789.08546875,105561.04838949363,0.0012007263229245613,0.01768217302957179
2025-06-28,107327.703125,107567.8828125,106883.9765625,107090.546875,30037708335,106008.142578125,105876.2225,105729.30122144663,0.002234353778444831,0.017683981495739028
2025-06-29,108385.5703125,108526.3046875,107230.109375,107327.8203125,35534874438,105912.716015625,105950.00734375,105982.27923011838,0.009856422495764683,0.014925206633566659
2025-06-30,107135.3359375,108798.7890625,106759.6484375,108383.4375,42064804590,105756.62109375,106010.586875,106092.0941546309,-0.011535062936840146,0.015116999103247533
2025-07-01,105698.28125,107550.6796875,105270.2265625,107144.3828125,44110692247,105607.20390625,106068.2934375,106054.58816371368,-0.013413452013053329,0.015080703908877982
2025-07-02,108859.3203125,109763.65625,105157.3984375,105703.1015625,56248657737,105753.7171875,106162.08359375,106321.70551121714,0.02990624847553991,0.01549395861348382
2025-07-03,109647.9765625,110541.4609375,108605.796875,108845.015625,50494742270,105931.567578125,106284.25484375,106638.49323038693,0.007244728772290987,0.01554757403878284
2025-07-04,108034.3359375,109751.984375,107296.3828125,109635.65625,42616442656,106059.6640625,106370.04875,106771.43063106436,-0.014716556343200904,0.015899007753674997
2025-07-05,108231.1796875,108381.34375,107842.2734375,108015.8359375,30615537520,106193.621875,106464.8865625,106910.4543507249,0.0018220480395592098,0.015898804707791765
2025-07-06,109232.0703125,109731.625,107847.015625,108231.1875,36746020463,106315.3875,106585.70625,107131.56063279872,0.009247710575546852,0.01582101318705156
2025-07-07,108299.8515625,109710.25,107527.0546875,109235.328125,45415696597,106500.32421875,106622.783125,107242.8264356274,-0.008534295352390808,0.015163605875747577
2025-07-08,108950.2734375,109198.96875,107499.5546875,108298.2265625,44282204127,106703.671484375,106689.665,107405.44043580575,0.006005750382996888,0.015191393912889989
2025-07-09,111326.5546875,111925.375,108357.6796875,108950.2734375,57927418065,107035.784765625,106780.374375,107778.87988834806,0.021810695604753683,0.015783717370341874
2025-07-10,115987.203125,116608.78125,110660.75,111329.1953125,95911605728,107669.66484375,106906.556875,108560.6249585054,0.041864660687494615,0.017487850562710617
2025-07-11,117516.9921875,118856.4765625,115245.6875,115986.234375,86928361085,108432.644140625,107023.43109375,109413.61231364774,0.013189291760499877,0.017130395278395376
2025-07-12,117435.2265625,118219.8984375,116977.0234375,117530.7109375,45524560304,109255.0484375,107226.3796875,110177.5755754432,-0.0006957770402219454,0.01661952799335236
2025-07-13,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,109931.965625,107452.87890625,111028.86525278195,0.014313342548076147,0.014175049209037123
2025-07-14,119849.703125,123091.609375,118959.1953125,119115.7890625,181746419401,110622.169140625,107669.16515625,111868.94505013604,0.006158578325259345,0.014169319853937962
2025-07-15,117777.1875,119935.5625,115765.6875,119853.8515625,98321661181,111142.965625,107835.9015625,112431.63480726595,-0.01729262210051885,0.015018889187179996
2025-07-16,118738.5078125,120065.515625,117064.8203125,117777.1875,72162029070,111731.891015625,108030.77890625,113032.289379193,0.00816219450392297,0.014900342291248765
2025-07-17,119289.84375,120999.609375,117508.21875,118738.5078125,72363841798,112341.96171875,108260.52921875,113628.24693831748,0.004643278306736054,0.01486984427256871
2025-07-18,118003.2265625,120851.9140625,116925.984375,119284.109375,77945799785,112875.737890625,108507.75859375,114044.9116644301,-0.01078563897020779,0.015299756153672907
2025-07-19,117939.9765625,118541.3984375,117388.4140625,117998.125,47564562765,113353.458203125,108786.58671875,114415.87022615103,-0.0005360022928398989,0.015297702400099021
2025-07-20,117300.7890625,118865.03125,116550.1328125,117944.109375,57515447231,113861.730859375,109039.840625,114690.62440104141,-0.00541960002562214,0.01502226478406902
2025-07-21,117439.5390625,119671.5625,116584.3984375,117306.46875,69820091744,114448.79375,109275.589375,114952.4257973708,0.0011828564931994912,0.014441930214672253
2025-07-22,119995.4140625,120269.96875,116233.2265625,117426.5,79217583118,115005.5984375,109557.86703125,115432.71039404978,0.02176332622218302,0.013815237717688769
2025-07-23,118754.9609375,120113.3515625,117391.390625,119997.4453125,66608604537,115460.94765625,109824.316875,115749.1152077117,-0.010337504434577038,0.014216544852290507
2025-07-24,118368.0,119535.453125,117247.96875,118770.984375,72627318560,115977.630859375,110097.0371875,115998.53280697725,-0.0032584822936673197,0.013637775816155698
2025-07-25,117635.8828125,118486.9765625,114759.8203125,118368.0,104857024569,116447.866015625,110418.23578125,116154.47090274133,-0.006185093838706357,0.013841640363131217
2025-07-26,117947.3671875,118335.6875,117181.2265625,117644.84375,48508954046,116883.630859375,110689.37625,116325.22292986121,0.002647868724685587,0.01379518750143584
2025-07-27,119448.4921875,119815.59375,117859.6875,117944.7265625,54683390892,117441.062890625,110966.03359375,116622.67714487443,0.012727075099638885,0.013601583645949359
2025-07-28,117924.4765625,119819.7890625,117441.4375,119457.5234375,64822943193,117889.773046875,111208.65015625,116746.65804179115,-0.012758768211219684,0.014163959066751903
2025-07-29,117922.1484375,119273.8671875,116987.3671875,117938.5859375,68463107433,118219.552734375,111361.21109375,116858.60950804912,-1.9742508661990676e-05,0.013551950523140737
2025-07-30,117831.1875,118780.7265625,115800.828125,117921.9921875,68896148592,118311.751953125,111512.69015625,116951.23598347302,-0.0007713643170961237,0.009998965252374046
